"Exports & Imports by NAICS Commodities by country 2024"
"Current date: 04/03/2025 3:28 AM (Eastern Daylight Time)"
"Commodity: All Commodities"
"District: All Districts Total"
"Time: 2024"
"Country","Total Exports Value ($US)","Domestic Exports Value ($US)","Foreign Exports Value ($US)","Customs Import Value (Gen) ($US)","CIF Import Value (Gen) ($US)","Customs Import Value (Cons) ($US)","CIF Import Value (Cons) ($US)","Balance ($US)",
"Rwanda","44,757,797","28,196,787","16,561,010","30,238,416","31,145,300","30,465,091","31,377,415","14,519,381"
"Samoa","54,397,476","53,074,770","1,322,706","5,717,674","6,050,359","5,717,674","6,050,359","48,679,802"
"San Marino","80,023,469","79,798,867","224,602","25,233,029","26,135,928","25,233,029","26,135,928","54,790,440"
"Sao Tome and Principe","1,021,475","994,958","26,517","572,291","591,753","572,291","591,753","449,184"
"Saudi Arabia","13,177,010,088","12,119,987,299","1,057,022,789","12,733,725,159","13,186,777,248","12,523,212,150","12,973,130,434","443,284,929"
"Senegal","350,866,605","288,934,647","61,931,958","235,125,168","243,693,889","235,125,168","243,693,894","115,741,437"
"Serbia","209,859,110","185,044,076","24,815,034","814,350,544","840,749,892","791,010,158","818,113,781","-604,491,434"
"Seychelles","16,534,260","15,196,434","1,337,826","7,150,942","8,074,442","7,610,533","8,533,808","9,383,318"
"Sierra Leone","119,859,059","116,788,090","3,070,969","28,747,850","29,605,194","28,079,386","28,936,824","91,111,209"
"Singapore","46,032,645,972","38,880,148,985","7,152,496,987","43,203,722,903","43,555,360,106","42,662,779,389","43,022,629,918","2,828,923,069"
"Sint Maarten","753,934,338","598,844,544","155,089,794","101,535,218","101,864,930","101,532,697","101,861,250","652,399,120"
"Slovakia","552,738,983","506,564,677","46,174,306","8,187,354,597","8,301,870,895","8,147,341,103","8,261,471,292","-7,634,615,614"
"Slovenia","332,200,789","310,993,089","21,207,700","6,293,037,940","6,333,656,243","6,275,700,179","6,316,291,131","-5,960,837,151"
"Solomon Islands","13,147,232","11,525,630","1,621,602","1,345,899","1,513,876","1,345,899","1,513,876","11,801,333"
"Somalia","49,123,706","44,628,391","4,495,315","2,482,732","2,624,660","2,482,732","2,624,660","46,640,974"
"South Africa","5,818,998,932","5,031,094,304","787,904,628","14,655,786,588","14,922,759,415","14,613,147,810","14,880,335,592","-8,836,787,656"
"South Sudan","59,276,702","58,610,968","665,734","805,202","808,313","805,202","808,313","58,471,500"
"Spain","23,910,286,257","18,547,745,881","5,362,540,376","21,278,741,242","22,090,849,379","21,035,649,007","21,848,526,148","2,631,545,015"
"Sri Lanka","368,214,575","347,572,345","20,642,230","3,015,585,462","3,159,214,958","3,120,315,076","3,268,996,726","-2,647,370,887"
"St Helena","9,016,194","8,127,868","888,326","10,636,649","10,816,366","10,618,591","10,797,738","-1,620,455"
"St Kitts and Nevis","160,188,109","142,839,962","17,348,147","19,629,242","20,459,595","19,569,891","20,396,960","140,558,867"
"St Lucia","1,043,599,900","1,020,296,803","23,303,097","6,955,920","7,294,670","6,828,916","7,176,390","1,036,643,980"
"St Pierre and Miquelon","51,169","51,169","","3,435,723","3,436,327","3,435,723","3,436,327","-3,384,554"
"St Vincent and the Grenadines","143,215,089","135,522,889","7,692,200","8,263,880","8,398,109","8,263,880","8,398,109","134,951,209"
"Sudan","56,610,929","56,424,132","186,797","13,133,891","13,214,667","13,133,891","13,214,667","43,477,038"
"Suriname","383,542,932","338,886,366","44,656,566","90,913,410","96,642,864","93,439,609","99,403,981","292,629,522"
"Svalbard, Jan Mayen Island","404,543","358,974","45,569","41,855","44,730","41,855","44,730","362,688"
"Sweden","8,187,319,415","7,301,714,662","885,604,753","17,995,672,668","18,492,043,855","17,760,208,834","18,254,375,892","-9,808,353,253"
"Switzerland","24,961,986,918","17,123,322,158","7,838,664,760","63,425,318,602","63,881,089,875","61,019,944,937","61,485,930,847","-38,463,331,684"
